URL,Titulo_Pagina,Keyword_Principal,Posicao,Volume_KW,Status_SEO,Prioridade
/,Home — Agita Morango,recreação para festa infantil (590v),6,590,CANIBAL,CRITICO
/baladinha-kids-e-dj-infantil-em-sao-paulo/,Baladinha Kids e DJ Infantil em São Paulo,baladinha (880v),sem ranking,880,PROBLEMA_CRITICO,CRITICO
/espaco-baby-para-festa-sp/,Espaço Baby para Festa SP,espaço bebe (480v),12,480,OK_PARCIAL,ALTO
/colonia-de-ferias-infantil-sp/,Colônia de Férias Infantil SP,colônia de férias infantil (320v),13,320,OK,ALTO
/aluguel-de-brinquedos-infantis-sp/,Aluguel de Brinquedos Infantis SP,los chicos festas (210v),2,210,CANIBAL_COMPETIDOR,ALTO
/oficinas-criativas-infantis-em-sp/,Oficinas Criativas Infantis em SP,oficinas crianças (590v),20,590,OK_PARCIAL,ALTO
/magico-para-festa-infantil-em-sao-paulo/,Mágico para Festa Infantil em São Paulo (URL Órfã),magico em festa infantil (210v),22,210,ORFÃ_ATIVA,ALTO
/animacao-infantil-para-festas-em-sp/,Animação Infantil para Festas em SP,animação infantil festas (210v),75,210,POSICAO_RUIM,MEDIO
/festa-das-cores-em-sao-paulo/,Festa das Cores em São Paulo,como funciona a festa das cores (320v),32,320,POSICAO_RUIM,MEDIO
/show-musical-infantil-em-sao-paulo/,Show Musical Infantil em São Paulo,show musicali (210v),23,210,POSICAO_RUIM,MEDIO
/dia-das-criancas-em-sao-paulo/,Dia das Crianças em São Paulo,festa de dia das crianças (260v),83,260,POSICAO_RUIM,MEDIO
/festa-do-pijama-em-sao-paulo/,Festa do Pijama em São Paulo,o que fazer na festa do pijama (210v),88,210,POSICAO_RUIM,MEDIO
/show-de-magica-infantil-em-sao-paulo/,Show de Mágica Infantil em São Paulo,circo magico buffet (90v),46,90,POSICAO_RUIM,MEDIO
/festas-tematicas-em-sao-paulo/,Festas Temáticas em São Paulo,festas tematicas (210v),37,210,POSICAO_RUIM,MEDIO
/trabalhe-conosco-recreador-infantil/,Trabalhe Conosco — Recreador Infantil,recreadora (390v),84,390,CANIBAL_INVERTIDO,MEDIO
/personagens-para-festas-infantis-em-sao-paulo/,Personagens para Festas Infantis em São Paulo,personagens de festa infantil (90v),18,90,POSICAO_RUIM,MEDIO
/camarim-infantil-para-festas-em-sao-paulo/,Camarim Infantil para Festas em São Paulo,camarim infantil festa (110v),6,110,OK,MEDIO
/kids-day-e-family-day-em-sao-paulo/,Kids Day e Family Day em São Paulo (URL Órfã),kiddies day (320v),92,320,ORFÃ,MEDIO
/animadores-de-festa-infantil-em-sao-paulo/,Animadores de Festa Infantil em São Paulo (URL Órfã),animadores para festa infantil (320v),54,320,ORFÃ,MEDIO
/ativacoes-de-marca-experiencias-sensoriais-sp/,Ativações de Marca SP (URL Órfã),ativações para eventos (110v),62,110,ORFÃ,MEDIO
/baladinha-kids-e-dj-em-sao-paulo/,Baladinha Kids DJ em São Paulo (URL Órfã),baladinha casa de festas infantil (110v),31,110,ORFÃ,MEDIO
/aniversarios-e-festas-infantis-em-sao-paulo/,Aniversários e Festas Infantis SP (URL Órfã),casa ideia recreação infantil (110v),64,110,ORFÃ,MEDIO
